Identifiant borne;Nom de la station;Type de connecteur;Statut de disponibilité;Présence câble attaché;Numéro de la voie;Ouverture au service commercial;Nom du réseau de charge;Propriétaire des bornes;Intitulé de la voie;Code postal;Ville;Pays;Coordonnées géographiques
FR*V75*EBELI*42*1*2;RUE LOUIS MURAT;E/F;Hors communication;Non;2;Oui;BELIB;;RUE LOUIS MURAT;75008;Paris;France;48.875854,2.309542
FR*V75*EBELI*42*1*3;RUE LOUIS MURAT;T3;Hors communication;Non;2;Oui;BELIB;;RUE LOUIS MURAT;75008;Paris;France;48.875854,2.309542
FR*V75*EBELI*42*1*1;RUE LOUIS MURAT;CHAdeMO;Hors communication;Oui;2;Oui;BELIB;;RUE LOUIS MURAT;75008;Paris;France;48.875854,2.309542
FR*V75*EBELI*42*1*3;RUE LOUIS MURAT;CHAdeMO;Hors communication;Oui;2;Oui;BELIB;;RUE LOUIS MURAT;75008;Paris;France;48.875854,2.309542
FR*V75*EBELI*42*1*1;RUE LOUIS MURAT;Combo;Hors communication;Oui;2;Oui;BELIB;;RUE LOUIS MURAT;75008;Paris;France;48.875854,2.309542
FR*V75*EBELI*42*1*3;RUE LOUIS MURAT;T2;Hors communication;Non;2;Oui;BELIB;;RUE LOUIS MURAT;75008;Paris;France;48.875854,2.309542
FR*V75*EBELI*28*1*1;RUE DE REAUMUR;CHAdeMO;Disponible;Oui;5;Oui;BELIB;;RUE DE REAUMUR;75003;Paris;France;48.864719,2.359043
FR*V75*EBELI*28*1*1;RUE DE REAUMUR;T2;Disponible;Non;5;Oui;BELIB;;RUE DE REAUMUR;75003;Paris;France;48.864719,2.359043
FR*V75*EBELI*42*1*3;RUE LOUIS MURAT;E/F;Hors communication;Non;2;Oui;BELIB;;RUE LOUIS MURAT;75008;Paris;France;48.875854,2.309542
FR*V75*EBELI*28*1*1;RUE DE REAUMUR;Combo;Disponible;Oui;5;Oui;BELIB;;RUE DE REAUMUR;75003;Paris;France;48.864719,2.359043
FR*V75*EBELI*42*1*3;RUE LOUIS MURAT;Combo;Hors communication;Oui;2;Oui;BELIB;;RUE LOUIS MURAT;75008;Paris;France;48.875854,2.309542
FR*V75*EBELI*42*1*1;RUE LOUIS MURAT;T3;Hors communication;Non;2;Oui;BELIB;;RUE LOUIS MURAT;75008;Paris;France;48.875854,2.309542
FR*V75*EBELI*28*1*3;RUE DE REAUMUR;E/F;Disponible;Non;5;Oui;BELIB;;RUE DE REAUMUR;75003;Paris;France;48.864719,2.359043
FR*V75*EBELI*42*1*1;RUE LOUIS MURAT;T2;Hors communication;Non;2;Oui;BELIB;;RUE LOUIS MURAT;75008;Paris;France;48.875854,2.309542
FR*V75*EBELI*28*1*3;RUE DE REAUMUR;T3;Disponible;Non;5;Oui;BELIB;;RUE DE REAUMUR;75003;Paris;France;48.864719,2.359043
FR*V75*EBELI*28*1*3;RUE DE REAUMUR;CHAdeMO;Disponible;Oui;5;Oui;BELIB;;RUE DE REAUMUR;75003;Paris;France;48.864719,2.359043
FR*V75*EBELI*42*1*1;RUE LOUIS MURAT;E/F;Hors communication;Non;2;Oui;BELIB;;RUE LOUIS MURAT;75008;Paris;France;48.875854,2.309542
FR*V75*EBELI*28*1*3;RUE DE REAUMUR;Combo;Disponible;Oui;5;Oui;BELIB;;RUE DE REAUMUR;75003;Paris;France;48.864719,2.359043
FR*V75*EBELI*49*1*3;RUE DIDOT;Combo;Hors communication;Oui;47;Oui;BELIB;;RUE DIDOT;75014;Paris;France;48.831448,2.320052
FR*V75*EBELI*28*1*1;RUE DE REAUMUR;E/F;Disponible;Non;5;Oui;BELIB;;RUE DE REAUMUR;75003;Paris;France;48.864719,2.359043
FR*V75*EBELI*49*1*3;RUE DIDOT;T3;Hors communication;Non;47;Oui;BELIB;;RUE DIDOT;75014;Paris;France;48.831448,2.320052
FR*V75*EBELI*28*1*1;RUE DE REAUMUR;T3;Disponible;Non;5;Oui;BELIB;;RUE DE REAUMUR;75003;Paris;France;48.864719,2.359043
FR*V75*EBELI*49*1*1;RUE DIDOT;CHAdeMO;Hors communication;Oui;47;Oui;BELIB;;RUE DIDOT;75014;Paris;France;48.831448,2.320052
FR*V75*EBELI*28*1*3;RUE DE REAUMUR;T2;Disponible;Non;5;Oui;BELIB;;RUE DE REAUMUR;75003;Paris;France;48.864719,2.359043
FR*V75*EBELI*49*1*1;RUE DIDOT;T3;Hors communication;Non;47;Oui;BELIB;;RUE DIDOT;75014;Paris;France;48.831448,2.320052
FR*V75*EBELI*28*1*2;RUE DE REAUMUR;E/F;Disponible;Non;5;Oui;BELIB;;RUE DE REAUMUR;75003;Paris;France;48.864719,2.359043
FR*V75*EBELI*49*1*1;RUE DIDOT;T2;Hors communication;Non;47;Oui;BELIB;;RUE DIDOT;75014;Paris;France;48.831448,2.320052
FR*V75*EBELI*49*1*3;RUE DIDOT;CHAdeMO;Hors communication;Oui;47;Oui;BELIB;;RUE DIDOT;75014;Paris;France;48.831448,2.320052
FR*V75*EBELI*26*1*3;RUE ETIENNE MARCEL;CHAdeMO;Hors communication;Oui;44;Oui;BELIB;;RUE ETIENNE MARCEL;75001;Paris;France;48.865311,2.343436
FR*V75*EBELI*26*1*3;RUE ETIENNE MARCEL;Combo;Hors communication;Oui;44;Oui;BELIB;;RUE ETIENNE MARCEL;75001;Paris;France;48.865311,2.343436
FR*V75*EBELI*49*1*3;RUE DIDOT;E/F;Hors communication;Non;47;Oui;BELIB;;RUE DIDOT;75014;Paris;France;48.831448,2.320052
FR*V75*EBELI*26*1*3;RUE ETIENNE MARCEL;T2;Hors communication;Non;44;Oui;BELIB;;RUE ETIENNE MARCEL;75001;Paris;France;48.865311,2.343436
FR*V75*EBELI*49*1*3;RUE DIDOT;T2;Hors communication;Non;47;Oui;BELIB;;RUE DIDOT;75014;Paris;France;48.831448,2.320052
FR*V75*EBELI*26*1*3;RUE ETIENNE MARCEL;T3;Hors communication;Non;44;Oui;BELIB;;RUE ETIENNE MARCEL;75001;Paris;France;48.865311,2.343436
FR*V75*EBELI*49*1*1;RUE DIDOT;Combo;Hors communication;Oui;47;Oui;BELIB;;RUE DIDOT;75014;Paris;France;48.831448,2.320052
FR*V75*EBELI*26*1*1;RUE ETIENNE MARCEL;T3;Hors communication;Non;44;Oui;BELIB;;RUE ETIENNE MARCEL;75001;Paris;France;48.865311,2.343436
FR*V75*EBELI*67*1*1;PLACE DU COLONEL FABIEN;CHAdeMO;Hors communication;Oui;9;Oui;BELIB;;PLACE DU COLONEL FABIEN;75010;Paris;France;48.878799,2.368851
FR*V75*EBELI*49*1*1;RUE DIDOT;E/F;Hors communication;Non;47;Oui;BELIB;;RUE DIDOT;75014;Paris;France;48.831448,2.320052
FR*V75*EBELI*67*1*1;PLACE DU COLONEL FABIEN;T2;Hors communication;Non;9;Oui;BELIB;;PLACE DU COLONEL FABIEN;75010;Paris;France;48.878799,2.368851
FR*V75*EBELI*49*1*2;RUE DIDOT;E/F;Hors communication;Non;47;Oui;BELIB;;RUE DIDOT;75014;Paris;France;48.831448,2.320052
FR*V75*EBELI*67*1*1;PLACE DU COLONEL FABIEN;Combo;Hors communication;Oui;9;Oui;BELIB;;PLACE DU COLONEL FABIEN;75010;Paris;France;48.878799,2.368851
FR*V75*EBELI*26*1*3;RUE ETIENNE MARCEL;E/F;Hors communication;Non;44;Oui;BELIB;;RUE ETIENNE MARCEL;75001;Paris;France;48.865311,2.343436
FR*V75*EBELI*67*1*3;PLACE DU COLONEL FABIEN;E/F;Hors communication;Non;9;Oui;BELIB;;PLACE DU COLONEL FABIEN;75010;Paris;France;48.878799,2.368851
FR*V75*EBELI*26*1*1;RUE ETIENNE MARCEL;CHAdeMO;Hors communication;Oui;44;Oui;BELIB;;RUE ETIENNE MARCEL;75001;Paris;France;48.865311,2.343436
FR*V75*EBELI*67*1*3;PLACE DU COLONEL FABIEN;CHAdeMO;Hors communication;Oui;9;Oui;BELIB;;PLACE DU COLONEL FABIEN;75010;Paris;France;48.878799,2.368851
FR*V75*EBELI*26*1*1;RUE ETIENNE MARCEL;E/F;Hors communication;Non;44;Oui;BELIB;;RUE ETIENNE MARCEL;75001;Paris;France;48.865311,2.343436
FR*V75*EBELI*66*1*1;RUE DE SEVRES;E/F;Hors communication;Non;20;Oui;BELIB;;RUE DE SEVRES;75007;Paris;France;48.851025,2.326367
FR*V75*EBELI*26*1*1;RUE ETIENNE MARCEL;Combo;Hors communication;Oui;44;Oui;BELIB;;RUE ETIENNE MARCEL;75001;Paris;France;48.865311,2.343436
FR*V75*EBELI*26*1*1;RUE ETIENNE MARCEL;T2;Hors communication;Non;44;Oui;BELIB;;RUE ETIENNE MARCEL;75001;Paris;France;48.865311,2.343436
FR*V75*EBELI*66*1*3;RUE DE SEVRES;E/F;Hors communication;Non;20;Oui;BELIB;;RUE DE SEVRES;75007;Paris;France;48.851025,2.326367
FR*V75*EBELI*26*1*2;RUE ETIENNE MARCEL;E/F;Hors communication;Non;44;Oui;BELIB;;RUE ETIENNE MARCEL;75001;Paris;France;48.865311,2.343436
FR*V75*EBELI*66*1*3;RUE DE SEVRES;Combo;Hors communication;Oui;20;Oui;BELIB;;RUE DE SEVRES;75007;Paris;France;48.851025,2.326367
FR*V75*EBELI*67*1*1;PLACE DU COLONEL FABIEN;T3;Hors communication;Non;9;Oui;BELIB;;PLACE DU COLONEL FABIEN;75010;Paris;France;48.878799,2.368851
FR*V75*EBELI*66*1*3;RUE DE SEVRES;CHAdeMO;Hors communication;Oui;20;Oui;BELIB;;RUE DE SEVRES;75007;Paris;France;48.851025,2.326367
